batch,point,distance,calc_lr_es,calc_lr_pol,calc_lr_disp,calc_lr_tot,ref_lr_es,ref_lr_pol,ref_lr_disp,ref_lr_tot,delta_lr_es,delta_lr_pol,delta_lr_disp,delta_lr_tot
140,8,6.61204193141582,-50937868.630380526,-1417400.6131986678,-1.3836056983091432,-52355270.62718489,-0.5390834124345305,-0.24467582448324343,-1.0035922145866683,-1.7873514515044422,-50937868.09129711,-1417400.3685228433,-0.3800134837224749,-52355268.83983344
140,9,7.220914108732497,-33021717.69665435,-1369623.6450275034,-0.7239126469208155,-34391342.0655945,-0.47019320673405196,-0.1480075311693113,-0.5408737465103663,-1.1590744844137295,-33021717.226461142,-1369623.4970199722,-0.18303890041044912,-34391340.90652002
140,10,7.830352107156619,-21935653.2963632,-1341728.0387388393,-0.4074348545409394,-23277381.742536895,-0.40543594378371295,-0.09314255762160006,-0.3108323774273499,-0.8094108788326629,-21935652.89092726,-1341727.9455962817,-0.09660247711358949,-23277380.933126017
140,11,8.440233575236388,-14854310.970047025,-1326374.2458441257,-0.24283245430269554,-16180685.458723605,-0.34857571383401775,-0.06062250220492377,-0.1880361341056847,-0.5972343501446262,-14854310.621471312,-1326374.1852216236,-0.054796320197010834,-16180684.861489255
160,0,4.792554473069052,-85263412.83661066,-4966322.901597887,-304.3813390956833,-90230040.11954765,-27.425369726113974,-16.185642649685075,-154.24559139759722,-197.85660377339627,-85263385.41124094,-4966306.715955238,-150.13574769808608,-90229842.26294388
160,1,5.000345902664628,-191073116.49558666,-4351222.399763942,-156.56879153252999,-195424495.46414214,-24.70526754263481,-10.880634632119321,-82.45265356248706,-118.03855573724118,-191073091.79031911,-4351211.51912931,-74.11613797004293,-195424377.4255864
160,2,5.208179295855608,-222224143.8377039,-3702023.1881064177,-85.33628332253708,-225926252.36209366,-22.25471562028274,-7.575556218448362,-47.006390195575534,-76.83666203430664,-222224121.5829883,-3702015.612550199,-38.32989312696155,-225926175.52543163
160,3,5.416052429991,-217392872.13999844,-3145176.8929216266,-49.03855079472414,-220538098.07147086,-20.067383281859843,-5.422376420525172,-28.30756863958994,-53.79732834197496,-217392852.07261515,-3145171.470545206,-20.730982155134196,-220538044.2741425
160,4,5.6239584225150585,-197409007.87091732,-2731233.6297144294,-29.555502624155466,-200140271.05613437,-18.12384779517916,-3.9702658482017448,-17.855259988967877,-39.94937363234878,-197408989.74706954,-2731229.6594485813,-11.700242635187589,-200140231.10676074
160,5,6.039860046236087,-148192597.1341868,-2184590.073294103,-12.13776601428681,-150377199.3452469,-14.871486541510766,-2.24813986807332,-7.945231435015119,-25.064857844599203,-148192582.26270026,-2184587.825154235,-4.19253457927169,-150377174.28038907
160,6,6.455860269091848,-106444565.16802041,-1845668.612241447,-5.696848243815455,-108290239.4771101,-12.309637761955297,-1.3488456150105552,-3.9692168091667526,-17.627700186132607,-106444552.85838266,-1845667.263395832,-1.7276314346487025,-108290221.84940992
160,7,6.871941300785847,-75947291.56855571,-1651103.9659698308,-2.9657866404886835,-77598398.50031218,-10.279892910529146,-0.8471463309431932,-2.1636056904105487,-13.290644931882888,-75947281.2886628,-1651103.1188235,-0.8021809500781347,-77598385.20966725
160,8,7.288087622913709,-54549571.04864901,-1572585.126372382,-1.6736579986380438,-56122157.84867939,-8.65903546549492,-0.5523616471517911,-1.2619457943031902,-10.473342906949902,-54549562.38961355,-1572584.574010735,-0.41171220433485356,-56122147.37533648
160,9,7.912412915301463,-33923559.44640995,-1520237.0339928567,-0.7957770599819931,-35443797.276179865,-6.796204997871301,-0.3080397803795094,-0.6198258403255685,-7.724070618576379,-33923552.65020495,-1520236.7259530763,-0.17595121965642457,-35443789.55210925
160,10,8.536835365118977,-21663078.656483293,-1496718.7564025521,-0.41942503085651717,-23159797.832310874,-5.423491800126153,-0.18177207565841336,-0.3330899573552465,-5.938353833139813,-21663073.232991494,-1496718.5746304765,-0.08633507350127068,-23159791.89395704
160,11,9.161336490728116,-14142345.530918531,-1486925.6380306035,-0.23866998617875818,-15629271.40761912,-4.392890046079976,-0.11232926505286667,-0.19176812495580176,-4.696987436088644,-14142341.138028486,-1486925.5257013384,-0.04690186122295642,-15629266.710631685
180,0,2.8932456028643627,-426420993.70280224,-6248119.112441599,-566.1730269714576,-432669678.9882708,-29.71258397729727,-20.65889528200502,-320.1291663208484,-370.5006455801507,-426420963.9902183,-6248098.453546317,-246.0438606506092,-432669308.48762524
180,1,3.110218662286823,-245709363.66143256,-4953692.829399705,-286.5750995642884,-250663343.06593183,-27.12467149714618,-13.202286251895245,-161.87799499856715,-202.20495274760856,-245709336.53676108,-4953679.627113453,-124.69710456572125,-250663140.86097908
180,2,3.3312047693390534,-167131111.63552588,-4105622.0871709287,-155.03291698527593,-171236888.7556138,-24.3437988382044,-8.851403309418984,-88.70879868314583,-121.9040008307692,-167131087.29172704,-4105613.235767619,-66.3241183021301,-171236766.851613
180,3,3.555454587537122,-138201786.95569143,-3393969.149650365,-88.64871819369309,-141595844.75406,-21.56870703561312,-6.095270600077626,-51.72300214135538,-79.38697977704612,-138201765.38698438,-3393963.054379765,-36.925716052337705,-141595765.3670802
